orig_id,dest_id,shipments,dist,oinc,oarea,opop,odens,ocap,o65,ocoll,ogen,dinc,darea,dpop,ddens,d65,dcoll,dcap,tax,dregion,year
33,1,386422.81,557.2057,28.706,.040953,10.847,264.8646,2.982439,13.3,11.1,18.56886,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
34,1,0,629.381,23.577,.068679,3.146,45.80731,2.536528,13.6,11.8,16.27419,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
35,1,0,2026.62,27.25,.096002,2.842,29.60355,2.258579,13.8,13.6,15.66012,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
36,1,324787.67,744.0532,29.069,.04482,11.882,265.1049,1.444129,15.8,11.3,18.11403,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
37,1,10940.006,1034.999,32.181,.001045,1.003,959.8086,.101832,15.5,13.5,14.86366,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
38,1,155517.5,339.0091,26.256,.030111,3.487,115.8049,.563243,11.7,11.2,16.99406,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
39,1,0,1039.421,22.503,.075896,.696,9.170444,2.258579,14.7,12.3,13.34199,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
40,1,1893465.8,210.8508,24.807,.041219,4.877,118.3192,1.005436,12.8,10.5,17.47579,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
41,1,599450.29,703.3088,27.016,.261914,16.987,64.85717,6.4774,10.2,13.9,18.31367,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
42,1,0,1457.475,29.47,.082168,1.723,20.96923,2.258579,8.9,15.4,14.53459,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
43,1,2488796,563.5828,33.328,.039598,6.187,156.2453,.112465,11,15.4,16.28325,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
44,1,0,1084.462,29.792,.009249,.563,60.87144,0,12,15.4,13.4422,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
45,1,0,2035.062,31.183,.066581,4.867,73.09893,2.258579,11.6,15.9,15.41611,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
46,1,45697.923,813.0789,29.442,.054314,4.892,90.06886,.456722,13.4,12.1,17.47465,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
47,1,67007.181,533.4631,20.795,.024087,1.793,74.43849,2.304,15.3,7.5,16.30399,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
48,1,0,1312.342,27.096,.097105,.454,4.675352,2.258579,10.9,13.1,9.76526,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
1,1,9221146.1,0,23.597,.05075,4.041,79.62562,1.102672,13,10.1,16.69303,23.597,.05075,4.041,79.62562,13,10.1,1.102672,25.125,"south",1990
2,1,3087.0003,357.5077,21.147,.052075,2.351,45.14642,.834602,15,8.9,15.88239,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
3,1,0,1418.295,27.54,.113642,3.664,32.2416,2.258579,13.4,13.3,14.08363,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
4,1,0,1945.271,35.798,.155973,29.76,190.8023,2.258579,10.6,15.3,17.0764,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
5,1,250.00002,1129.195,30.14,.103729,3.294,31.75583,2.258579,10,18,14.95397,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
6,1,2723.0009,977.907,41.721,.004845,3.287,678.4314,.439263,14.1,16.2,16.24969,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
7,1,0,760.9162,34.875,.001955,.666,340.6649,0,12.4,13.7,14.387,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
8,1,86699.073,361.1705,27.483,.053997,12.938,239.6059,.347235,18.6,12,15.82312,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
9,1,796791.84,181.4277,29.021,.057919,6.478,111.8459,.400421,10.1,12.9,16.65141,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
10,1,227354.47,733.1555,26.229,.055875,2.777,49.70022,.121515,15.5,11.7,15.19279,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
11,1,0,1687.797,25.257,.082751,1.007,12.16904,2.258579,11.8,12.4,12.25437,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
12,1,1543046.6,500.8531,32.252,.055593,11.431,205.6194,2.66384,12.6,13.6,17.85185,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
13,1,186015.38,482.2823,28.797,.03587,5.544,154.5581,6.426348,12.7,9.2,17.80761,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
14,1,0,746.5325,27.291,.081823,2.478,30.28488,2.258579,13.9,14.1,16.23793,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
15,1,210511.43,339.2107,22.534,.039732,3.685,92.7464,.698978,12.7,8.1,16.98054,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
16,1,27382.064,324.836,21.949,.043566,4.22,96.86452,10.75009,11.3,10.5,16.55306,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
17,1,0,1050.518,36.952,.007838,6.016,767.5427,.130908,14,16.6,16.46234,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
18,1,4241.9964,703.2751,39.386,.009775,4.781,489.1049,.021288,11.1,15.6,15.01111,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
19,1,0,1227.046,27.854,.030865,1.228,39.78617,.011796,13.7,12.7,14.15501,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
20,1,5643.9973,775.2822,31.02,.056809,9.295,163.6184,4.772254,12.4,10.9,17.88659,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
21,1,3317.0018,966.5143,30.909,.079617,4.375,54.95058,.100022,12.6,15.6,15.34358,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
22,1,13610.006,503.5229,26.362,.068898,5.117,74.26921,.60172,14.2,11.7,16.26636,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
23,1,455872.21,170.8416,20.136,.046914,2.573,54.84504,.000061,12.5,9.7,15.34895,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
24,1,0,1548.785,22.988,.145556,.799,5.489296,2.258579,13.4,14.1,12.75048,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
25,1,316879.5,452.8329,26.647,.048718,6.629,136.0688,.076299,12.5,12,16.29291,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
26,1,0,1228.013,23.213,.068994,.639,9.261675,2.258579,14.8,13.5,10.66958,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
27,1,18886.016,893.9376,26.016,.076878,1.578,20.52603,2.258579,14.2,13.1,15.77901,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
28,1,0,1097.274,36.329,.008969,1.109,123.6481,0,11.9,16.4,14.90511,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
29,1,1493883,843.6528,40.927,.007419,7.73,1041.919,27.93428,13.6,16,17.28567,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
30,1,0,1105.784,24.087,.121364,1.515,12.48311,.005929,11,12.1,12.56455,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
31,1,0,1772.791,31.011,.109806,1.202,10.94658,2.258579,11.1,10.1,11.86204,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
32,1,82375.048,906.0051,32.965,.047224,17.99,380.9504,1.2612,13.1,13.2,17.01779,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
33,1,167010.84,557.2057,28.706,.040953,10.847,264.8646,2.982439,13.3,11.1,18.24942,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
34,1,0,629.381,23.577,.068679,3.146,45.80731,2.536528,13.6,11.8,16.49825,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
35,1,0,2026.62,27.25,.096002,2.842,29.60355,2.258579,13.8,13.6,14.82567,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
36,1,105105.56,744.0532,29.069,.04482,11.882,265.1049,1.444129,15.8,11.3,18.16701,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
37,1,23399.906,1034.999,32.181,.001045,1.003,959.8086,.101832,15.5,13.5,14.40062,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
38,1,108212.35,339.0091,26.256,.030111,3.487,115.8049,.563243,11.7,11.2,16.84548,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
39,1,3699.9988,1039.421,22.503,.075896,.696,9.170444,2.258579,14.7,12.3,12.9887,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
40,1,460228.24,210.8508,24.807,.041219,4.877,118.3192,1.005436,12.8,10.5,16.67322,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
41,1,200454.99,703.3088,27.016,.261914,16.987,64.85717,6.4774,10.2,13.9,18.20392,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
42,1,0,1457.475,29.47,.082168,1.723,20.96923,2.258579,8.9,15.4,18.29488,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
43,1,11362.992,563.5828,33.328,.039598,6.187,156.2453,.112465,11,15.4,15.95505,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
44,1,0,1084.462,29.792,.009249,.563,60.87144,0,12,15.4,12.99916,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
45,1,0,2035.062,31.183,.066581,4.867,73.09893,2.258579,11.6,15.9,15.13884,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
46,1,4543.0002,813.0789,29.442,.054314,4.892,90.06886,.456722,13.4,12.1,16.84135,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
47,1,5262.9975,533.4631,20.795,.024087,1.793,74.43849,2.304,15.3,7.5,16.36939,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
48,1,0,1312.342,27.096,.097105,.454,4.675352,2.258579,10.9,13.1,10.17435,23.597,.05075,4.041,79.62562,13,10.1,1.102672,61.125,"south",1990
1,1,5789056.2,0,23.597,.05075,4.041,79.62562,1.102672,13,10.1,18.42532,23.597,.05075,4.041,79.62562,13,10.1,1.102672,34.625,"south",1991
2,1,69619.894,357.5077,21.147,.052075,2.351,45.14642,.834602,15,8.9,18.37695,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
3,1,0,1418.295,27.54,.113642,3.664,32.2416,2.258579,13.4,13.3,17.19571,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
4,1,0,1945.271,35.798,.155973,29.76,190.8023,2.258579,10.6,15.3,18.92961,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
5,1,0,1129.195,30.14,.103729,3.294,31.75583,2.258579,10,18,16.24541,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
6,1,852.00039,977.907,41.721,.004845,3.287,678.4314,.439263,14.1,16.2,17.34648,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
7,1,65.000017,760.9162,34.875,.001955,.666,340.6649,0,12.4,13.7,16.0174,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
8,1,57524.868,361.1705,27.483,.053997,12.938,239.6059,.347235,18.6,12,17.22645,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
9,1,652736.28,181.4277,29.021,.057919,6.478,111.8459,.400421,10.1,12.9,18.14002,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
10,1,294709.85,733.1555,26.229,.055875,2.777,49.70022,.121515,15.5,11.7,17.06838,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
11,1,0,1687.797,25.257,.082751,1.007,12.16904,2.258579,11.8,12.4,13.62319,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
12,1,230276.41,500.8531,32.252,.055593,11.431,205.6194,2.66384,12.6,13.6,18.79165,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
13,1,114906.19,482.2823,28.797,.03587,5.544,154.5581,6.426348,12.7,9.2,19.7725,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
14,1,6197.0004,746.5325,27.291,.081823,2.478,30.28488,2.258579,13.9,14.1,17.70435,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
15,1,78659.783,339.2107,22.534,.039732,3.685,92.7464,.698978,12.7,8.1,18.21129,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
16,1,1477.9993,324.836,21.949,.043566,4.22,96.86452,10.75009,11.3,10.5,18.2009,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
17,1,750.00026,1050.518,36.952,.007838,6.016,767.5427,.130908,14,16.6,17.30255,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
18,1,11216.99,703.2751,39.386,.009775,4.781,489.1049,.021288,11.1,15.6,17.19706,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
19,1,0,1227.046,27.854,.030865,1.228,39.78617,.011796,13.7,12.7,15.28694,23.597,.05075,4.041,79.62562,13,10.1,1.102672,106.625,"south",1991
